id,name,category,subcategory,vendor,website,documentation,github_url,logo,description,open_source,license,pricing_model,release_year,latest_version,github_stars,community_score,enterprise_adoption_score,enterprise_readiness_score,latency_score,performance_score,scalability_score,security_score,governance_score,observability_score,cost_efficiency_score,developer_experience_score,deployment_complexity_score,ecosystem_maturity_score,integration_score,maintenance_score,benchmark_score,overall_rating,best_for,supported_clouds,gpu_requirement,multi_modal_support,rag_support,agent_support,fine_tuning_support,api_available,self_hosting_support,vector_search_support,streaming_support,compliance,sla_support,pricing_notes,enterprise_clients,top_competitors,tags,last_updated
llm-gpt4o,GPT-4o,LLM Models,Frontier LLM,OpenAI,https://openai.com,https://platform.openai.com/docs,,,The most capable multimodal model from OpenAI with vision and audio understanding,false,Proprietary,Pay-per-use,2024,gpt-4o-2024-11-20,0,92,97,96,78,96,90,88,82,85,55,93,80,97,96,90,94,93,Enterprise AI apps; RAG; agents; multimodal workflows,AWS Azure GCP,Optional,true,true,true,true,true,false,false,true,SOC2 HIPAA GDPR,true,"Input $2.50/1M tokens Output $10/1M tokens",Microsoft Stripe Salesforce,Claude Gemini Llama,llm multimodal reasoning enterprise flagship,2025-12-01
llm-claude35,Claude 3.5 Sonnet,LLM Models,Frontier LLM,Anthropic,https://anthropic.com,https://docs.anthropic.com,,,A highly capable and safe LLM with constitutional AI safety features and 200K context window,false,Proprietary,Pay-per-use,2024,claude-3-5-sonnet-20241022,0,88,95,95,82,95,88,95,90,83,58,94,80,95,93,90,93,92,Safe enterprise AI; long-context analysis; code generation,AWS GCP Azure,Optional,true,true,true,false,true,false,false,true,SOC2 HIPAA,true,"Input $3/1M tokens Output $15/1M tokens",Notion Slack GitHub,GPT-4o Gemini Llama,llm safety enterprise reasoning code,2025-12-01
llm-gemini15pro,Gemini 1.5 Pro,LLM Models,Frontier LLM,Google DeepMind,https://deepmind.google,https://ai.google.dev/docs,,,Google's frontier model with 2M token context and native multimodal reasoning,false,Proprietary,Pay-per-use,2024,gemini-1.5-pro-002,0,90,94,93,80,94,92,87,84,86,60,91,80,96,95,91,92,92,Long-context RAG; multimodal pipelines; Google Workspace,GCP AWS,Optional,true,true,true,true,true,false,false,true,SOC2 ISO27001 GDPR,true,"Input $1.25/1M tokens Output $5/1M tokens",Google Workspace YouTube,Claude GPT-4o Llama,llm multimodal long-context google enterprise,2025-12-01
llm-llama3,Llama 3.3 70B,LLM Models,Open Source LLM,Meta AI,https://llama.meta.com,https://llama.meta.com/docs,https://github.com/meta-llama/llama3,,Meta's latest open-weight model — industry-leading open source performance,true,Custom,Free,2024,3.3,90000,94,82,85,85,90,88,80,75,80,95,88,85,90,87,85,92,88,Self-hosted LLM; fine-tuning; on-premise enterprise,AWS Azure GCP On-premise,Required,false,true,true,true,false,true,false,true,Custom,false,"Free; compute costs only",None,GPT-4o Mistral Qwen,llm open-source self-hosted fine-tuning,2025-12-01
llm-deepseek,DeepSeek V3,LLM Models,Cost-Efficient LLM,DeepSeek,https://deepseek.com,https://api-docs.deepseek.com,https://github.com/deepseek-ai/DeepSeek-V3,,Ultra cost-efficient frontier model with performance rivaling GPT-4o at 10x lower price,true,MIT,Pay-per-use,2024,V3,72000,85,70,78,88,91,85,75,65,72,97,87,82,84,85,83,91,86,Cost-efficient inference; startups; research; batch workloads,AWS Azure GCP,Optional,false,true,true,true,true,true,false,true,Custom,false,"Input $0.27/1M tokens Output $1.1/1M tokens",None,GPT-4o Claude Qwen,llm cost-efficient open-source api,2025-12-01
llm-mistral,Mistral Large 2,LLM Models,European LLM,Mistral AI,https://mistral.ai,https://docs.mistral.ai,https://github.com/mistralai,,Europe's leading LLM provider with strong multilingual and code capabilities,true,Apache-2.0,Freemium,2024,mistral-large-2407,32000,83,82,83,85,88,86,85,80,80,80,88,82,85,84,84,88,84,European compliance; multilingual; self-hosted option,AWS Azure GCP On-premise,Optional,false,true,true,true,true,true,false,true,SOC2 GDPR,false,"API: $2/1M input $6/1M output; self-hosted free",Airbus BNP Paribas,Claude GPT-4o Llama,llm european multilingual gdpr self-hosted,2025-12-01
llm-qwen25,Qwen 2.5 72B,LLM Models,Open Source LLM,Alibaba Cloud,https://qwenlm.github.io,https://qwen.readthedocs.io,https://github.com/QwenLM/Qwen2.5,,Alibaba's top open-source model with exceptional coding and math capabilities,true,Apache-2.0,Free,2024,2.5-72B,40000,80,65,72,84,90,83,72,68,73,96,85,82,82,82,82,90,82,Code generation; math; research; self-hosted deployments,Any,Required,false,true,true,true,false,true,false,true,Custom,false,Free — compute costs only,None,Llama Mistral DeepSeek,llm open-source code math self-hosted,2025-12-01
llm-grok2,Grok 2,LLM Models,Frontier LLM,xAI,https://x.ai,https://docs.x.ai,,,xAI's frontier model with real-time web access and strong reasoning capabilities,false,Proprietary,Pay-per-use,2024,grok-2-1212,0,75,70,75,80,88,80,75,65,72,68,85,78,75,73,78,88,78,Real-time web search; conversational AI; research,AWS,Optional,true,true,true,false,true,false,false,true,Custom,false,"Competitive pricing with web access included",None,GPT-4o Claude Gemini,llm real-time web-access reasoning,2025-12-01
llm-phi4,Phi-4 14B,LLM Models,Small LLM,Microsoft,https://azure.microsoft.com,https://azure.microsoft.com/docs,,, Microsoft's compact but highly capable small language model optimized for reasoning,false,MIT,Freemium,2024,14B,28000,78,80,80,92,87,82,82,78,78,90,89,85,83,83,85,87,83,Edge AI; on-device inference; low-resource environments,Azure AWS,Optional,false,true,true,true,true,true,false,true,SOC2,false,"Azure AI pricing; self-hosted free",None,Llama Mistral Qwen,llm small edge on-device reasoning,2025-12-01
llm-command-r,Command R+,LLM Models,RAG-Optimized LLM,Cohere,https://cohere.com,https://docs.cohere.com,,,Enterprise-grade LLM optimized for RAG and enterprise search with strong multilingual support,false,Proprietary,Pay-per-use,2024,command-r-plus-08-2024,0,78,88,90,82,86,88,88,83,85,70,87,82,86,86,83,86,86,Enterprise RAG; search; summarization; multilingual,AWS Azure GCP,Optional,false,true,true,true,true,false,false,true,SOC2 GDPR HIPAA,true,"$2.50/1M input $10/1M output",Oracle Salesforce,GPT-4o Claude Llama,llm rag enterprise search multilingual,2025-12-01
